id;client;carer;time;duration
1;Handcrafted info-mediaries Manager;Movies back-end;2022-08-03T06:37:18;86079
2;Bedfordshire bus incentivize;IB;2022-08-02T19:36:48;98019
3;Tools;Myanmar Product;2022-08-03T04:42:06;93120
4;Shirt methodologies Refined;Producer;2022-08-02T18:56:16;67925
5;Franc;3rd;2022-08-03T10:58:56;25122
6;Forges wireless SDD;zero RAM;2022-08-03T09:01:39;15776
7;Technician;RSS;2022-08-02T17:03:22;6632
8;Grocery implementation;Avon Personal black;2022-08-03T00:34:04;27452
9;Minnesota;mindshare Loan;2022-08-02T19:59:39;22940
10;innovate Hampshire Row;Programmable input Division;2022-08-03T02:54:43;10832
